title,manufacturer,model_number,price,currency,description,port_type_name,device_category,max_voltage,max_current,spec_value,device_brand,compatibility_level,is_published,featured,is_certified,certification_date,technical_specifications
"MacBook Pro 16-inch USB-C Charger - 140W",Apple,A2452,79.00,USD,"Official Apple 140W USB-C Power Adapter for MacBook Pro 16-inch with M1/M2 chips","USB-C",laptop,20,7,140W,Apple,perfect,1,1,1,2023-01-15,"{""wattage"": 140, ""fast_charging"": true, ""cable_included"": true, ""magsafe_compatible"": true}"
"MacBook Air USB-C Charger - 30W",Apple,A1882,49.00,USD,"Compact 30W USB-C Power Adapter for MacBook Air","USB-C",laptop,20,1.5,30W,Apple,perfect,1,1,1,2022-03-10,"{""wattage"": 30, ""fast_charging"": false, ""cable_included"": false}"
"iPhone 15 USB-C Charger - 20W",Apple,A2305,19.00,USD,"20W USB-C Power Adapter for iPhone 15 series","USB-C",phone,9,2.22,20W,Apple,perfect,1,1,1,2023-09-15,"{""wattage"": 20, ""fast_charging"": true, ""cable_included"": false}"
"Lightning to USB Cable - 1m",Apple,MXLY2AM/A,19.00,USD,"Official Apple Lightning to USB-A Cable","Lightning",phone,5,2.4,12W,Apple,perfect,1,0,1,2021-06-01,"{""length"": ""1m"", ""data_transfer"": true, ""fast_charging"": false}"
"MagSafe 3 to USB-C Cable - 2m",Apple,MLYV3AM/A,49.00,USD,"MagSafe 3 to USB-C Cable for MacBook Pro","MagSafe 3",laptop,20,7,140W,Apple,perfect,1,0,1,2023-01-15,"{""length"": ""2m"", ""magnetic"": true, ""fast_charging"": true}"
"Samsung Galaxy S24 25W Charger",Samsung,EP-T2510XBEGUS,24.99,USD,"25W USB-C Super Fast Charger for Galaxy devices","USB-C",phone,9,2.77,25W,Samsung,perfect,1,1,1,2024-01-20,"{""wattage"": 25, ""pps_support"": true, ""fast_charging"": true}"
"Samsung 45W USB-C Charger",Samsung,EP-T4510XBEGUS,49.99,USD,"45W USB-C PD Charger for Galaxy Tab and laptops","USB-C",tablet,20,2.25,45W,Samsung,perfect,1,1,1,2023-08-10,"{""wattage"": 45, ""pps_support"": true, ""pd_support"": true}"
"Anker PowerPort III 65W",Anker,A2667,39.99,USD,"Compact 65W USB-C charger with GaN technology","USB-C",laptop,20,3.25,65W,Universal,excellent,1,1,1,2023-05-15,"{""wattage"": 65, ""gan_technology"": true, ""foldable_plug"": true, ""multiport"": false}"
"Anker PowerPort Atom III 60W",Anker,A2019,34.99,USD,"Ultra-compact 60W USB-C PD charger","USB-C",laptop,20,3,60W,Universal,excellent,1,0,1,2022-11-20,"{""wattage"": 60, ""gan_technology"": true, ""size"": ""compact""}"
"Belkin 25W USB-C Charger",Belkin,WCA004vfWH,19.99,USD,"25W USB-C PD Wall Charger","USB-C",phone,12,2.08,25W,Universal,good,1,0,1,2023-03-12,"{""wattage"": 25, ""pd_support"": true, ""wall_mount"": true}"
"Dell 90W USB-C Adapter",Dell,DA90PM180,79.99,USD,"90W USB-C Power Adapter for Dell laptops","USB-C",laptop,20,4.5,90W,Dell,perfect,1,0,1,2023-02-28,"{""wattage"": 90, ""dell_compatible"": true, ""cable_length"": ""1.8m""}"
"HP 65W USB-C Adapter",HP,1HE08AA,54.99,USD,"65W USB-C Power Adapter for HP EliteBook","USB-C",laptop,20,3.25,65W,HP,perfect,1,0,1,2022-12-05,"{""wattage"": 65, ""hp_compatible"": true, ""smart_power"": true}"
"Lenovo 65W USB-C Charger",Lenovo,4X20M26272,49.99,USD,"ThinkPad 65W USB-C DC Travel Adapter","USB-C",laptop,20,3.25,65W,Lenovo,perfect,1,0,1,2023-07-18,"{""wattage"": 65, ""thinkpad_compatible"": true, ""travel_friendly"": true}"
"ASUS 90W USB-C Adapter",ASUS,0A001-00342600,69.99,USD,"90W USB-C Power Adapter for ZenBook","USB-C",laptop,20,4.5,90W,ASUS,perfect,1,0,1,2023-04-22,"{""wattage"": 90, ""zenbook_compatible"": true, ""efficiency_rating"": ""VI""}"
"Microsoft Surface 65W Charger",Microsoft,1796,79.99,USD,"65W Power Supply for Surface Pro and Laptop","Surface Connect",laptop,15,4.33,65W,Microsoft,perfect,1,1,1,2023-06-10,"{""wattage"": 65, ""surface_compatible"": true, ""magnetic_connector"": true}"
"Nintendo Switch AC Adapter",Nintendo,HAC-002,29.99,USD,"39W AC Adapter for Nintendo Switch","USB-C",gaming,15,2.6,39W,Nintendo,perfect,1,1,1,2021-03-15,"{""wattage"": 39, ""switch_compatible"": true, ""tv_mode"": true}"
"Steam Deck 45W Charger",Valve,1010,24.99,USD,"45W USB-C PD Charger for Steam Deck","USB-C",gaming,20,2.25,45W,Valve,perfect,1,1,1,2022-08-30,"{""wattage"": 45, ""steam_deck_compatible"": true, ""portable"": true}"
"Google Pixel 30W Charger",Google,GA03496-US,25.00,USD,"30W USB-C Charger for Pixel phones","USB-C",phone,11,2.72,30W,Google,perfect,1,0,1,2023-10-05,"{""wattage"": 30, ""pixel_compatible"": true, ""pps_support"": true}"
"OnePlus Warp Charge 65W",OnePlus,5481100015,39.99,USD,"65W Warp Charge SuperVOOC Adapter","USB-C",phone,11,5.9,65W,OnePlus,perfect,1,1,1,2023-01-28,"{""wattage"": 65, ""warp_charge"": true, ""supervooc"": true}"
"Xiaomi 67W Turbo Charger",Xiaomi,MDY-12-EF,29.99,USD,"67W Turbo Charge GaN Adapter","USB-C",phone,11,6.1,67W,Xiaomi,perfect,1,0,1,2023-05-20,"{""wattage"": 67, ""turbo_charge"": true, ""gan_technology"": true}"
"Razer 130W GaN Charger",Razer,RC21-01900100,89.99,USD,"130W GaN USB-C Charger for Razer Blade","USB-C",laptop,20,6.5,130W,Razer,perfect,1,1,1,2023-09-12,"{""wattage"": 130, ""gan_technology"": true, ""razer_compatible"": true, ""rgb_logo"": true}"
"Aukey Omnia 100W",Aukey,PA-B7,49.99,USD,"100W 4-Port GaN Charger","USB-C",universal,20,5,100W,Universal,excellent,1,1,1,2023-04-05,"{""wattage"": 100, ""ports"": 4, ""gan_technology"": true, ""multiport"": true}"
"RAVPower 90W 2-Port",RAVPower,RP-PC133,44.99,USD,"90W Dual Port USB-C PD Charger","USB-C",universal,20,4.5,90W,Universal,excellent,1,0,1,2022-09-15,"{""wattage"": 90, ""ports"": 2, ""intelligent_charging"": true}"
"UGREEN 65W Nexode",UGREEN,CD137,32.99,USD,"65W 3-Port GaN Fast Charger","USB-C",universal,20,3.25,65W,Universal,excellent,1,1,1,2023-07-02,"{""wattage"": 65, ""ports"": 3, ""gan_technology"": true, ""foldable_plug"": true}"
"Baseus 100W GaN3",Baseus,CCGAN100US,45.99,USD,"100W GaN3 Pro 4-Port Fast Charger","USB-C",universal,20,5,100W,Universal,excellent,1,1,1,2023-08-18,"{""wattage"": 100, ""ports"": 4, ""gan3_technology"": true, ""digital_display"": true}"
"Spigen ArcStation Pro 65W",Spigen,F418,36.99,USD,"65W 3-Port GaN Charger","USB-C",universal,20,3.25,65W,Universal,good,1,0,1,2023-06-25,"{""wattage"": 65, ""ports"": 3, ""gan_technology"": true, ""compact_design"": true}"
"Nekteck 100W USB-C",Nekteck,NK-USB-C-100W,39.99,USD,"100W USB-C PD 3.0 Wall Charger","USB-C",laptop,20,5,100W,Universal,good,1,0,1,2022-10-12,"{""wattage"": 100, ""pd3_support"": true, ""safety_certified"": true}"
"ZMI zPower Turbo 65W",ZMI,HA832,42.99,USD,"65W USB-C PD GaN Charger","USB-C",laptop,20,3.25,65W,Universal,good,1,0,1,2023-02-14,"{""wattage"": 65, ""gan_technology"": true, ""xiaomi_ecosystem"": true}"
"Innergie PowerGear USB-C 45W",Innergie,ADP-45FE,34.99,USD,"45W USB-C Laptop Adapter","USB-C",laptop,20,2.25,45W,Universal,good,1,0,1,2022-11-08,"{""wattage"": 45, ""universal_compatible"": true, ""energy_efficient"": true}"
"Satechi 108W Pro",Satechi,ST-MC108W-EU,79.99,USD,"108W USB-C PD Desktop Charger","USB-C",desktop,20,5.4,108W,Universal,excellent,1,1,1,2023-05-30,"{""wattage"": 108, ""ports"": 4, ""desktop_design"": true, ""aluminum_build"": true}"
"HyperJuice 100W GaN",HyperJuice,HJ-GAN100,59.99,USD,"100W GaN USB-C Charger","USB-C",laptop,20,5,100W,Universal,excellent,1,0,1,2023-03-20,"{""wattage"": 100, ""gan_technology"": true, ""kickstarter_backed"": true}"
"CalDigit TS3 Plus 87W",CalDigit,TS3-PLUS,279.99,USD,"Thunderbolt 3 Dock with 87W charging","Thunderbolt 3",dock,20,4.35,87W,Universal,excellent,1,1,1,2022-07-22,"{""wattage"": 87, ""thunderbolt3"": true, ""dock_functionality"": true, ""multiple_ports"": true}"
"OWC Thunderbolt Dock 90W",OWC,OWCTB3DK14PSG,249.99,USD,"Thunderbolt 3 Dock with 90W Power","Thunderbolt 3",dock,20,4.5,90W,Universal,excellent,1,0,1,2023-01-10,"{""wattage"": 90, ""thunderbolt3"": true, ""11_ports"": true}"
"Kensington SD5750T 90W",Kensington,K38300NA,199.99,USD,"Thunderbolt 4 Docking Station 90W","Thunderbolt 4",dock,20,4.5,90W,Universal,excellent,1,1,1,2023-04-15,"{""wattage"": 90, ""thunderbolt4"": true, ""dual_4k_support"": true}"
"Cable Matters 201375 87W",Cable Matters,201375,169.99,USD,"USB-C Triple Display Dock 87W","USB-C",dock,20,4.35,87W,Universal,good,1,0,1,2022-12-18,"{""wattage"": 87, ""triple_display"": true, ""usb_c_dock"": true}"
"Plugable UD-ULTC4K 60W",Plugable,UD-ULTC4K,149.99,USD,"USB-C 4K Docking Station 60W","USB-C",dock,20,3,60W,Universal,good,1,0,1,2023-02-05,"{""wattage"": 60, ""4k_support"": true, ""13_ports"": true}"
"j5create JCD543 65W",j5create,JCD543,129.99,USD,"USB-C Ultra Station 65W","USB-C",dock,20,3.25,65W,Universal,good,1,0,1,2022-08-14,"{""wattage"": 65, ""ultra_station"": true, ""hdmi_support"": true}"
"Belkin Connect Pro 90W",Belkin,F4U097,179.99,USD,"Thunderbolt 3 Dock Pro 90W","Thunderbolt 3",dock,20,4.5,90W,Universal,excellent,1,1,1,2023-06-08,"{""wattage"": 90, ""thunderbolt3"": true, ""belkin_quality"": true}"
"StarTech TB3DK2DPPD 85W",StarTech,TB3DK2DPPD,249.99,USD,"Thunderbolt 3 Dual-4K Dock 85W","Thunderbolt 3",dock,20,4.25,85W,Universal,excellent,1,0,1,2022-10-30,"{""wattage"": 85, ""dual_4k"": true, ""professional_grade"": true}"
"WAVLINK WL-UG39DK1 87W",WAVLINK,WL-UG39DK1,159.99,USD,"USB-C Universal Dock 87W","USB-C",dock,20,4.35,87W,Universal,good,1,0,1,2023-01-25,"{""wattage"": 87, ""universal_compatibility"": true, ""affordable"": true}"
"Targus DOCK190USZ 85W",Targus,DOCK190USZ,189.99,USD,"USB-C Universal DV4K Dock 85W","USB-C",dock,20,4.25,85W,Universal,good,1,1,1,2023-03-15,"{""wattage"": 85, ""displaylink"": true, ""business_grade"": true}"
"Generic 12V 2A Barrel Jack",Generic,DC-12V-2A,12.99,USD,"12V 2A Universal Barrel Jack Adapter","Barrel Jack",router,12,2,24W,Universal,good,1,0,0,NULL,"{""voltage"": 12, ""current"": 2, ""barrel_size"": ""5.5mm""}"
"Generic 9V 1A Power Supply",Generic,DC-9V-1A,9.99,USD,"9V 1A DC Power Supply Adapter","Barrel Jack",device,9,1,9W,Universal,good,1,0,0,NULL,"{""voltage"": 9, ""current"": 1, ""barrel_size"": ""2.1mm""}"
"Generic 5V 3A Micro USB",Generic,MU-5V-3A,8.99,USD,"5V 3A Micro USB Charger","Micro USB",tablet,5,3,15W,Universal,good,1,0,0,NULL,"{""voltage"": 5, ""current"": 3, ""cable_included"": true}"
"Car Charger USB-C 36W",Generic,CC-36W-USBC,14.99,USD,"36W Dual Port Car Charger with USB-C","USB-C",car,12,3,36W,Universal,good,1,0,0,NULL,"{""wattage"": 36, ""car_adapter"": true, ""dual_port"": true}"
"Wireless Charging Pad 15W",Generic,WC-15W-QI,24.99,USD,"15W Qi Wireless Charging Pad","Wireless",phone,9,1.67,15W,Universal,good,1,1,0,NULL,"{""wattage"": 15, ""qi_compatible"": true, ""wireless"": true}"
"Power Bank 20000mAh 65W",Generic,PB-20K-65W,49.99,USD,"20000mAh Power Bank with 65W USB-C PD","USB-C",portable,20,3.25,65W,Universal,good,1,1,0,NULL,"{""capacity"": ""20000mAh"", ""wattage"": 65, ""portable"": true, ""power_bank"": true}"